========= LIST command test ========= 
2025/07/23 09:03:19 list - 15.604170647s
2025/07/23 09:03:32 list - 3.030860856s
2025/07/23 09:03:44 list - 3.059910102s
2025/07/23 09:03:57 list - 3.037757529s
2025/07/23 09:04:09 list - 3.030497702s
2025/07/23 09:04:22 list - 3.027811819s
2025/07/23 09:04:34 list - 3.04627644s
2025/07/23 09:04:47 list - 3.029661525s
2025/07/23 09:04:59 list - 3.053084442s
2025/07/23 09:05:12 list - 3.031025256s
2025/07/23 09:05:24 list - 3.021272575s
2025/07/23 09:05:36 list - 3.048585416s
2025/07/23 09:05:49 list - 3.047613042s
2025/07/23 09:06:02 list - 3.044519334s
2025/07/23 09:06:14 list - 3.02552551s
2025/07/23 09:06:26 list - 3.054071528s
2025/07/23 09:06:39 list - 3.047503747s
2025/07/23 09:06:51 list - 3.035587079s
2025/07/23 09:07:04 list - 3.049506836s
2025/07/23 09:07:16 list - 3.023760225s
2025/07/23 09:07:29 list - 3.022925384s
2025/07/23 09:07:41 list - 3.051982668s
2025/07/23 09:07:54 list - 3.052163696s
2025/07/23 09:08:06 list - 3.023104178s
2025/07/23 09:08:19 list - 3.038112512s
2025/07/23 09:08:31 list - 3.026160976s
2025/07/23 09:08:44 list - 3.03963039s
2025/07/23 09:08:56 list - 3.047072637s
2025/07/23 09:09:09 list - 3.02418264s
2025/07/23 09:09:21 list - 3.025701519s
========= UPLOAD command test ========= 
2025/07/23 09:09:33 upload - 3.02520923s
2025/07/23 09:09:46 upload - 3.029861122s
2025/07/23 09:09:58 upload - 3.023121924s
2025/07/23 09:10:11 upload - 3.022938083s
2025/07/23 09:10:23 upload - 3.026753384s
2025/07/23 09:10:36 upload - 3.030980973s
2025/07/23 09:10:48 upload - 3.020253681s
2025/07/23 09:11:01 upload - 3.021237636s
2025/07/23 09:11:13 upload - 3.024339112s
2025/07/23 09:11:26 upload - 3.029588602s
2025/07/23 09:11:38 upload - 3.047106608s
2025/07/23 09:11:50 upload - 3.040262964s
2025/07/23 09:12:03 upload - 3.033318877s
2025/07/23 09:12:15 upload - 3.048735656s
2025/07/23 09:12:28 upload - 3.04314093s
2025/07/23 09:12:40 upload - 3.052152848s
2025/07/23 09:12:53 upload - 3.022515837s
2025/07/23 09:13:05 upload - 3.048182066s
2025/07/23 09:13:18 upload - 3.04449671s
2025/07/23 09:13:30 upload - 3.045202435s
2025/07/23 09:13:43 upload - 3.033518403s
2025/07/23 09:13:55 upload - 3.047899201s
2025/07/23 09:14:08 upload - 3.042097228s
2025/07/23 09:14:20 upload - 3.019141851s
2025/07/23 09:14:33 upload - 3.036882995s
2025/07/23 09:14:45 upload - 3.020034223s
2025/07/23 09:14:58 upload - 3.023909201s
2025/07/23 09:15:10 upload - 3.021752932s
2025/07/23 09:15:23 upload - 3.0320229s
2025/07/23 09:15:35 upload - 3.02186707s
========= DOWNLOAD command test ========= 
2025/07/23 09:15:48 download - 3.048717758s
2025/07/23 09:16:00 download - 3.045867097s
2025/07/23 09:16:12 download - 3.030019717s
2025/07/23 09:16:25 download - 3.023500878s
2025/07/23 09:16:37 download - 3.049410666s
2025/07/23 09:16:50 download - 3.043534204s
2025/07/23 09:17:02 download - 3.032771975s
2025/07/23 09:17:15 download - 3.020438889s
2025/07/23 09:17:27 download - 3.020834649s
2025/07/23 09:17:40 download - 3.020228549s
2025/07/23 09:17:52 download - 3.021483983s
2025/07/23 09:18:04 download - 3.033621544s
2025/07/23 09:18:17 download - 3.035507681s
2025/07/23 09:18:29 download - 3.021524482s
2025/07/23 09:18:42 download - 3.045273176s
2025/07/23 09:18:54 download - 3.024178441s
2025/07/23 09:19:07 download - 3.037715159s
2025/07/23 09:19:19 download - 3.027463405s
2025/07/23 09:19:32 download - 3.043326203s
2025/07/23 09:19:44 download - 3.039549572s
2025/07/23 09:19:57 download - 3.04812546s
2025/07/23 09:20:09 download - 3.043150262s
2025/07/23 09:20:21 download - 3.018829951s
2025/07/23 09:20:34 download - 3.042473842s
2025/07/23 09:20:46 download - 3.048153162s
2025/07/23 09:20:59 download - 3.020058987s
2025/07/23 09:21:11 download - 3.02417137s
2025/07/23 09:21:24 download - 3.01989746s
2025/07/23 09:21:36 download - 3.018449275s
2025/07/23 09:21:49 download - 3.050496672s
