========= LIST command test ========= 
2025/07/21 15:58:18 list - 43.942795ms
2025/07/21 15:58:19 list - 42.24137ms
2025/07/21 15:58:19 list - 41.788144ms
2025/07/21 15:58:19 list - 41.148537ms
2025/07/21 15:58:19 list - 41.870617ms
2025/07/21 15:58:20 list - 41.087395ms
2025/07/21 15:58:20 list - 729.325µs
2025/07/21 15:58:20 list - 44.275526ms
2025/07/21 15:58:20 list - 44.132492ms
2025/07/21 15:58:21 list - 41.845837ms
2025/07/21 15:58:21 list - 42.684561ms
2025/07/21 15:58:21 list - 42.366718ms
2025/07/21 15:58:21 list - 41.769643ms
2025/07/21 15:58:22 list - 42.75867ms
2025/07/21 15:58:22 list - 719.337µs
2025/07/21 15:58:22 list - 41.191175ms
2025/07/21 15:58:22 list - 47.195696ms
2025/07/21 15:58:23 list - 42.934015ms
2025/07/21 15:58:23 list - 42.656889ms
2025/07/21 15:58:23 list - 43.398543ms
2025/07/21 15:58:23 list - 42.834243ms
2025/07/21 15:58:24 list - 45.996697ms
2025/07/21 15:58:24 list - 43.656148ms
2025/07/21 15:58:24 list - 45.806933ms
2025/07/21 15:58:24 list - 680.433µs
2025/07/21 15:58:25 list - 40.986664ms
2025/07/21 15:58:25 list - 42.348879ms
2025/07/21 15:58:25 list - 43.437865ms
2025/07/21 15:58:25 list - 42.87088ms
2025/07/21 15:58:26 list - 40.654027ms
========= UPLOAD command test ========= 
2025/07/21 15:58:26 upload - 797.868µs
2025/07/21 15:58:26 upload - 683.123µs
2025/07/21 15:58:26 upload - 43.189998ms
2025/07/21 15:58:27 upload - 46.982681ms
2025/07/21 15:58:27 upload - 42.811993ms
2025/07/21 15:58:27 upload - 41.855137ms
2025/07/21 15:58:27 upload - 41.831313ms
2025/07/21 15:58:28 upload - 40.914566ms
2025/07/21 15:58:28 upload - 42.620336ms
2025/07/21 15:58:28 upload - 44.977362ms
2025/07/21 15:58:28 upload - 45.130755ms
2025/07/21 15:58:29 upload - 43.893244ms
2025/07/21 15:58:29 upload - 41.758781ms
2025/07/21 15:58:29 upload - 43.260166ms
2025/07/21 15:58:29 upload - 44.017989ms
2025/07/21 15:58:30 upload - 44.270112ms
2025/07/21 15:58:30 upload - 40.914518ms
2025/07/21 15:58:30 upload - 44.080486ms
2025/07/21 15:58:30 upload - 43.00295ms
2025/07/21 15:58:31 upload - 41.935208ms
2025/07/21 15:58:31 upload - 43.959174ms
2025/07/21 15:58:31 upload - 43.818433ms
2025/07/21 15:58:32 upload - 42.561892ms
2025/07/21 15:58:32 upload - 41.237664ms
2025/07/21 15:58:32 upload - 42.86117ms
2025/07/21 15:58:32 upload - 41.376835ms
2025/07/21 15:58:33 upload - 44.017352ms
2025/07/21 15:58:33 upload - 42.929462ms
2025/07/21 15:58:33 upload - 42.732188ms
2025/07/21 15:58:33 upload - 690.089µs
========= DOWNLOAD command test ========= 
2025/07/21 15:58:34 download - 753.495µs
2025/07/21 15:58:34 download - 741.11µs
2025/07/21 15:58:34 download - 637.965µs
2025/07/21 15:58:34 download - 598.992µs
2025/07/21 15:58:34 download - 591.374µs
2025/07/21 15:58:35 download - 648.054µs
2025/07/21 15:58:35 download - 598.774µs
2025/07/21 15:58:35 download - 755.836µs
2025/07/21 15:58:35 download - 624.938µs
2025/07/21 15:58:35 download - 666.885µs
2025/07/21 15:58:36 download - 752.769µs
2025/07/21 15:58:36 download - 560.403µs
2025/07/21 15:58:36 download - 603.707µs
2025/07/21 15:58:36 download - 675.789µs
2025/07/21 15:58:36 download - 668.052µs
2025/07/21 15:58:37 download - 646.761µs
2025/07/21 15:58:37 download - 641.72µs
2025/07/21 15:58:37 download - 618.642µs
2025/07/21 15:58:37 download - 601.688µs
2025/07/21 15:58:38 download - 619.273µs
2025/07/21 15:58:38 download - 641.028µs
2025/07/21 15:58:38 download - 630.595µs
2025/07/21 15:58:38 download - 607.841µs
2025/07/21 15:58:38 download - 620.063µs
2025/07/21 15:58:39 download - 606.381µs
2025/07/21 15:58:39 download - 613.228µs
2025/07/21 15:58:39 download - 629.688µs
2025/07/21 15:58:39 download - 672.992µs
2025/07/21 15:58:39 download - 671.844µs
2025/07/21 15:58:40 download - 581.965µs
