========= LIST command test ========= 
2025/07/23 08:48:28 list - 1.777396ms
2025/07/23 08:48:29 list - 1.742095ms
2025/07/23 08:48:29 list - 1.647596ms
2025/07/23 08:48:29 list - 1.463696ms
2025/07/23 08:48:30 list - 1.354597ms
2025/07/23 08:48:30 list - 1.740796ms
2025/07/23 08:48:30 list - 1.5528ms
2025/07/23 08:48:31 list - 1.4336ms
2025/07/23 08:48:31 list - 1.4231ms
2025/07/23 08:48:31 list - 1.6438ms
2025/07/23 08:48:32 list - 1.697699ms
2025/07/23 08:48:32 list - 1.4139ms
2025/07/23 08:48:32 list - 1.4831ms
2025/07/23 08:48:33 list - 1.5626ms
2025/07/23 08:48:33 list - 1.5361ms
2025/07/23 08:48:33 list - 1.6205ms
2025/07/23 08:48:34 list - 1.7825ms
2025/07/23 08:48:34 list - 1.537ms
2025/07/23 08:48:34 list - 1.434ms
2025/07/23 08:48:35 list - 3.7379ms
2025/07/23 08:48:35 list - 1.3989ms
2025/07/23 08:48:35 list - 1.6003ms
2025/07/23 08:48:36 list - 1.639ms
2025/07/23 08:48:36 list - 1.5421ms
2025/07/23 08:48:36 list - 1.4144ms
2025/07/23 08:48:37 list - 1.3442ms
2025/07/23 08:48:37 list - 1.089ms
2025/07/23 08:48:37 list - 1.5615ms
2025/07/23 08:48:38 list - 1.3508ms
2025/07/23 08:48:38 list - 1.5388ms
========= UPLOAD command test ========= 
2025/07/23 08:48:38 upload - 1.6756ms
2025/07/23 08:48:39 upload - 1.3269ms
2025/07/23 08:48:39 upload - 1.5247ms
2025/07/23 08:48:39 upload - 1.6708ms
2025/07/23 08:48:40 upload - 1.755009ms
2025/07/23 08:48:40 upload - 1.737409ms
2025/07/23 08:48:40 upload - 1.417807ms
2025/07/23 08:48:41 upload - 1.751409ms
2025/07/23 08:48:41 upload - 1.887509ms
2025/07/23 08:48:41 upload - 1.387307ms
2025/07/23 08:48:42 upload - 1.553607ms
2025/07/23 08:48:42 upload - 1.572108ms
2025/07/23 08:48:42 upload - 1.821009ms
2025/07/23 08:48:43 upload - 1.91111ms
2025/07/23 08:48:43 upload - 1.614108ms
2025/07/23 08:48:43 upload - 1.415907ms
2025/07/23 08:48:44 upload - 1.85721ms
2025/07/23 08:48:44 upload - 1.518208ms
2025/07/23 08:48:44 upload - 1.5754ms
2025/07/23 08:48:45 upload - 1.640501ms
2025/07/23 08:48:45 upload - 1.834601ms
2025/07/23 08:48:45 upload - 1.705601ms
2025/07/23 08:48:46 upload - 1.867801ms
2025/07/23 08:48:46 upload - 1.743901ms
2025/07/23 08:48:46 upload - 1.648ms
2025/07/23 08:48:47 upload - 1.677701ms
2025/07/23 08:48:47 upload - 1.7313ms
2025/07/23 08:48:47 upload - 1.868301ms
2025/07/23 08:48:48 upload - 1.462603ms
2025/07/23 08:48:48 upload - 1.659802ms
========= DOWNLOAD command test ========= 
2025/07/23 08:48:48 download - 1.800203ms
2025/07/23 08:48:49 download - 1.438802ms
2025/07/23 08:48:49 download - 1.291902ms
2025/07/23 08:48:49 download - 1.623502ms
2025/07/23 08:48:50 download - 1.401603ms
2025/07/23 08:48:50 download - 1.405102ms
2025/07/23 08:48:50 download - 1.481502ms
2025/07/23 08:48:51 download - 1.435203ms
2025/07/23 08:48:51 download - 1.363902ms
2025/07/23 08:48:51 download - 1.455202ms
2025/07/23 08:48:52 download - 1.483702ms
2025/07/23 08:48:52 download - 1.449602ms
2025/07/23 08:48:52 download - 1.279702ms
2025/07/23 08:48:53 download - 1.202902ms
2025/07/23 08:48:53 download - 1.514703ms
2025/07/23 08:48:53 download - 1.841703ms
2025/07/23 08:48:54 download - 1.556002ms
2025/07/23 08:48:54 download - 1.757402ms
2025/07/23 08:48:54 download - 1.189001ms
2025/07/23 08:48:55 download - 1.494802ms
2025/07/23 08:48:55 download - 1.300002ms
2025/07/23 08:48:55 download - 1.636002ms
2025/07/23 08:48:56 download - 1.543802ms
2025/07/23 08:48:56 download - 1.551502ms
2025/07/23 08:48:56 download - 1.566602ms
2025/07/23 08:48:57 download - 1.498102ms
2025/07/23 08:48:57 download - 1.497302ms
2025/07/23 08:48:57 download - 1.651702ms
2025/07/23 08:48:58 download - 1.304102ms
2025/07/23 08:48:58 download - 1.448702ms
